"id","theater_name","show","location","prices","dates","current_date","days_elapsed","Latitud","Longitud"
70,"Teatre Goya","buenrollistas en barcelona","Barcelona",17,2023-09-22,2024-03-22,182,NA,NA
71,"teatro municipal del zaidin Isidro Olgoso","improv sololosvalientes en granada","Granada",10.5,2023-09-23,2024-03-22,181,NA,NA
72,"pequeno teatro gran via madrid","de caperucita a loba en solo seis tios en madrid","Madrid",16,2023-09-23,2024-03-22,181,"40.422416","-3.7089372"
73,"teatro sanpol","orejas de mariposa en madrid","Madrid",12.5,2023-09-24,2024-03-22,180,NA,NA
74,"teatro alcazar madrid","el brujo lazarillo de tormes madrid","Madrid",14,2023-09-26,2024-03-22,178,"40.417757","-3.699082"
75,"teatro lara madrid","desencantadas en madrid","Madrid",10,2023-09-29,2024-03-22,175,"40.42241","-3.704353"
76,"sala houdini madrid","joe monty magia y humor muy de cerca en madrid","Madrid",12,2023-09-29,2024-03-22,175,NA,NA
77,"teatro sanpol","el pequeno conejo blanco en madrid","Madrid",12.5,2023-09-30,2024-03-22,174,NA,NA
78,"wit comedy club madrid","los gilipollas en madrid","Madrid",7,2023-09-30,2024-03-22,174,NA,NA
79,"teatre apolo barcelona","corta cable rojo barcelona","Barcelona",14,2023-09-30,2024-03-22,174,"41.3749","2.17048"
80,"teatro lara madrid","el pequeno mozart en madrid","Madrid",18,2023-10-01,2024-03-22,173,"40.42241","-3.704353"
81,"meltdown madrid","comedy con madrid","Madrid",8,2023-10-04,2024-03-22,170,NA,NA
82,"teatre condal barcelona","andreu casanova en barcelona","Barcelona",17,2023-10-06,2024-03-22,168,"41.3749","2.16526"
83,"off latina","mitos nordicos madrid","Madrid",7.5,2023-10-07,2024-03-22,167,"40.412667","-3.71208"
84,"iIntruso bar madrid","lgtb comedy jam en madrid","Madrid",5,2023-10-09,2024-03-22,165,NA,NA
85,"teatro marquina","shakespeare en madrid","Madrid",17.5,2023-10-12,2024-03-22,162,"40.422652","-3.693642"
86,"taberna flamenca el cortijo madrid","espectaculo de flamenco con copa en madrid","Madrid",18,2023-10-12,2024-03-22,162,"40.3955","-3.66178"
87,"la sala lastcrit comedy club","hostia patxi en barcelona","Barcelona",12,2023-10-14,2024-03-22,160,NA,NA
88,"teatro bellas artes madrid","la flauta magica en madrid","Madrid",8,2023-10-15,2024-03-22,159,"40.418488","-3.696378"
89,"SOJO Laboratorio Teatral","bodas de sangre en madrid","Madrid",10.99,2023-10-15,2024-03-22,159,NA,NA
90,"teatro arlequin","hernani en madrid","Madrid",12,2023-10-17,2024-03-22,157,"40.42147","-3.70853"
91,"teatro reina victoria madrid","luis piedrahita en madrid","Madrid",19,2023-10-20,2024-03-22,154,"40.4166","-3.69953"
92,"teatro lara madrid","el gato con botas madrid","Madrid",16,2023-10-21,2024-03-22,153,"40.42241","-3.704353"
93,"sala torpedo ciudad real","romancero gitano en madrid","Madrid",8,2023-10-21,2024-03-22,153,"39.0328","-4.17565"
94,"sala houdini madrid","jaque a lo imposible magia de cerca magia y humor en madrid","Madrid",10,2023-10-21,2024-03-22,153,NA,NA
95,"teatro maravillas madrid","hipnonautas en madrid","Madrid",16,2023-10-22,2024-03-22,152,"40.42885","-3.703235"
96,"Teatre Goya","srbohigues leminencia en barcelona","Barcelona",17,2023-10-22,2024-03-22,152,NA,NA
97,"teatro reina victoria madrid","sueno de una noche de verano madrid","Madrid",16,2023-10-23,2024-03-22,151,"40.4166","-3.69953"
98,"la sala sevilla","tejido conectivo danza en la sala en madrid","Madrid",14,2023-10-23,2024-03-22,151,NA,NA
99,"teatro arlequin","con ganas de reir madrid","Madrid",12,2023-10-25,2024-03-22,149,"40.42147","-3.70853"
100,"centro de nuevos creadores sala mirador madrid","katarsis on tour en madrid","Madrid",16,2023-10-27,2024-03-22,147,"40.407","-3.69885"
